row_id,Amine_1,Amine_2,Solvent,canonical_amine_object,chemistry_object,amine_count,y,x_Am1,x_Am2,x_Sol,x_H2O,S_ideal,minus_T_Smix,inv_T,xa_invT,ln_MW_ratio,Am_Med_ratio,Water_ent,Am_acc,Am_don,Am_np,Am_wid,Sv_acc,Sv_don,Sv_np,Sv_wid,Delta_S_np,Delta_S_acc,Sal_Out
0,BAE,,DEGEE,BAE,BAE__DEGEE,1,0,0.20344909290848498,0.0,0.35539565636118753,0.4411552507303276,1.052648323232772,-329.4789251718576,3.194888178913738,0.6499971019440415,0.5175773645162774,0.2554125431243222,0.3610231152915922,0.09727598105633667,0.055205886003449035,0.8475181329402143,3.758852982102411e-05,0.1786575562994829,0.10828084589042497,0.713061597810092,6.199219120179506e-05,0.13445653513012223,0.08138157524314624,0.31457086796807915
1,AMB,,DEGEE,AMB,AMB__DEGEE,1,0,0.22489040149562878,0.0,0.34582922705864044,0.4292803714457309,1.065792244260353,-333.59297245349046,3.194888178913738,0.7184996852895489,0.39009339732600323,0.2901401323493872,0.3630188113132794,0.08632857689095069,0.025713306159383106,0.8879581169496663,2.961630944830338e-05,0.1786575562994829,0.10828084589042497,0.713061597810092,6.199219120179506e-05,0.17489651913957427,0.09232897940853221,0.3061033475716027
2,EAE,,DEGEE,EAE,EAE__DEGEE,1,1,0.25138346889235685,0.0,0.33400886379917133,0.4146076673084719,1.078404177938327,-337.5405076946964,3.194888178913738,0.8031420731385204,0.2439494797389583,0.3357973788263497,0.3650299545782734,0.12242887122023806,0.08163117451179396,0.7959399542679679,4.6728925696333407e-05,0.1786575562994829,0.10828084589042497,0.713061597810092,6.199219120179506e-05,0.08287835645787589,0.05622868507924485,0.29564080571529405
3,1-amino-2-propanol,,DEGEE,1-amino-2-propanol,1-amino-2-propanol__DEGEE,1,1,0.28495206100090076,0.0,0.31903162666426166,0.39601631233483753,1.0890509373035588,-340.8729433760139,3.194888178913738,0.9103899712488843,0.07273076850452331,0.39850763208879236,0.36682986093401454,0.14378340243936763,0.09617032334751859,0.7600462742131138,5.64192196057124e-05,0.1786575562994829,0.10828084589042497,0.713061597810092,6.199219120179506e-05,0.04698467640302173,0.034874153860115276,0.28238402443233973
4,MAE,,DEGEE,MAE,MAE__DEGEE,1,1,0.28495206100090076,0.0,0.31903162666426166,0.39601631233483753,1.0890509373035588,-340.8729433760139,3.194888178913738,0.9103899712488843,0.07273076850452331,0.39850763208879236,0.36682986093401454,0.14249471519363885,0.09207974615126893,0.7654255386550921,5.459151713440061e-05,0.1786575562994829,0.10828084589042497,0.713061597810092,6.199219120179506e-05,0.05236394084500007,0.03616284110584406,0.28238402443233973
5,DGA,,DEGEE,DGA,DGA__DEGEE,1,1,0.22160702141167277,0.0,0.3472941667249344,0.43109881186339294,1.0639551870981294,-333.0179735617145,3.194888178913738,0.708009653072437,0.4090280106889676,0.28469812486398405,0.36273427994321483,0.15753234944488062,0.0884021277286648,0.7540655228264544,5.736790771482863e-05,0.1786575562994829,0.10828084589042497,0.713061597810092,6.199219120179506e-05,0.04100392501636241,0.021125206854602285,0.30740000760134323
6,MEA,,DEGEE,MEA,MEA__DEGEE,1,1,0.3288675163980182,0.0,0.29943794852478545,0.37169453507719635,1.0946700602505952,-342.6317288584363,3.194888178913738,1.0506949405687482,-0.13398628482024816,0.49001877339104416,0.3678597269853645,0.1735872897491033,0.1170908859105395,0.7093218243403573,6.759658646337234e-05,0.1786575562994829,0.10828084589042497,0.713061597810092,6.199219120179506e-05,0.003739773469734753,0.005070266550379593,0.2650410990794249
7,TEPA,,,TEPA,TEPA__NO_SOLVENT,1,0,0.03918651551799599,0.0,0.0,0.960813484482004,0.1653501770766802,-49.274352768850704,3.3557046979865772,0.13149837422146307,2.3521497491901444,0.04078472684954201,0.03840849374771503,0.12883028881830655,0.07806868280539508,0.7931010283762984,5.299310763634962e-05,0.3562763508789981,0.35644732064686485,0.28727632847413703,0.0001412623541007264,0.5058246999021614,0.22744606206069157,0.27601897017043237
8,TEPA,,DGME,TEPA,TEPA__DGME,1,0,0.13065163157075102,0.0,0.4117133604848048,0.4576350079444441,0.9889965011832993,-294.7209573526232,3.3557046979865772,0.4384282938615806,1.047911588821594,0.1502868542868079,0.3577256608086993,0.12883028881830655,0.07806868280539508,0.7931010283762984,5.299310763634962e-05,0.19566448062200087,0.1118832464140273,0.6924522729639719,6.6649532735e-05,0.10064875541232643,0.06683419180369432,0.3168904014390157
9,TEPA,,DGME,TEPA,TEPA__DGME,1,1,0.060290132408515336,0.0,0.09499404148099688,0.8447158261104878,0.535490477923302,-159.57616242114398,3.3557046979865772,0.20231588056548772,1.8991048670431625,0.0641582412696988,0.14255002653904497,0.12883028881830655,0.07806868280539508,0.7931010283762984,5.299310763634962e-05,0.29211918735078063,0.25875505619233474,0.4491257564568846,0.0001114579155689667,0.3439752719194138,0.16328889853247408,0.379383634392975
