canonical_amine_object,n_shared_rows,ds_unknown_signed_mean,strict_signed_mean,ds_unknown_abs_mean,strict_abs_mean,share_consistent_under,share_consistent_over,share_consistent_strong_under,share_consistent_strong_over
AMP,4,0.9095560447183354,0.9418872933272773,0.9095560447183354,0.9418872933272773,1.0,0.0,1.0,0.0
AMB,1,-0.9132431161688412,-0.8847846332843566,0.9132431161688412,0.8847846332843566,0.0,1.0,0.0,1.0
DEEA,1,-0.274205118852371,-0.7250180616242297,0.274205118852371,0.7250180616242297,0.0,1.0,0.0,1.0
BZMEA,5,-0.3463801047625711,-0.6687630446425281,0.3463801047625711,0.6687630446425281,0.0,1.0,0.0,1.0
AEP,28,0.37998845813575166,0.4263843625546876,0.4667275421016769,0.5080855898094894,0.8928571428571429,0.10714285714285714,0.5,0.07142857142857142
MAE,69,-0.33368929653087304,-0.3893876899949114,0.4494775198852122,0.45908328255870234,0.4057971014492754,0.5942028985507246,0.043478260869565216,0.5217391304347826
MPA,3,-0.4448369704789295,-0.4395644814961206,0.4448369704789295,0.4395644814961206,0.0,1.0,0.0,1.0
2MPRZ,6,0.586174969797628,0.427314603797041,0.586174969797628,0.427314603797041,1.0,0.0,0.8333333333333334,0.0
DAP,5,0.11973188962535793,0.4152667247371976,0.11973188962535793,0.4152667247371976,1.0,0.0,0.0,0.0
MEA,121,0.19861171485138623,0.23373822492610885,0.3370649991736645,0.3511809390760283,0.7520661157024794,0.24793388429752067,0.4380165289256198,0.0743801652892562
BAE,6,-0.27043721514894,-0.2753649963673828,0.27043721514894,0.2753649963673828,0.0,1.0,0.0,0.16666666666666666
DETA,28,-0.015429612870564232,0.06696822850780479,0.27787707635498415,0.2655053058276812,0.7142857142857143,0.2857142857142857,0.14285714285714285,0.25
EAE,23,0.16786141187548018,0.19708477238588462,0.22128035174863928,0.24196245179858622,0.8260869565217391,0.17391304347826086,0.13043478260869565,0.0
1-amino-2-propanol,8,0.07478774774544131,0.05224972424902746,0.26882586117998686,0.23821366244920655,0.625,0.375,0.25,0.125
DGA,1,0.11983078913542067,0.1905551668593667,0.11983078913542067,0.1905551668593667,1.0,0.0,0.0,0.0
TEPA,16,0.081212654286973,-0.004601702185506755,0.21150701530443877,0.16471647709217946,0.875,0.125,0.0625,0.0625
IPMEA,5,-0.1465105860138453,-0.15050231380279674,0.1465105860138453,0.15050231380279674,0.0,1.0,0.0,0.0
AEEA,1,-0.0626974398281084,-0.1253161228107747,0.0626974398281084,0.1253161228107747,0.0,1.0,0.0,0.0
AM2B,3,-0.1760740436993816,-0.10161385426773713,0.1760740436993816,0.10161385426773713,0.0,1.0,0.0,0.0
TETA,6,0.10351676020216799,0.03242526583111808,0.10351676020216799,0.03242526583111808,1.0,0.0,0.0,0.0
DEA,12,0.035662955156184804,0.02305845070701021,0.035662955156184804,0.02305845070701021,1.0,0.0,0.0,0.0
PMDETA|TEPA,1,-0.873275739974646,,0.873275739974646,,0.0,0.0,0.0,0.0
DEEA|HxA,1,-0.8643810638039151,,0.8643810638039151,,0.0,0.0,0.0,0.0
MDEA|TEPA,1,-0.8523647860009084,,0.8523647860009084,,0.0,0.0,0.0,0.0
DEEA|OtA,1,-0.8224010774428469,,0.8224010774428469,,0.0,0.0,0.0,0.0
DEEA|PtA,1,-0.806817327193191,,0.806817327193191,,0.0,0.0,0.0,0.0
1MI|MAE,1,-0.7307684505474678,,0.7307684505474678,,0.0,0.0,0.0,0.0
DMAC|MAE,1,-0.6588395699205215,,0.6588395699205215,,0.0,0.0,0.0,0.0
DETA|DMAC,2,0.5168995135867018,,0.5168995135867018,,0.0,0.0,0.0,0.0
DEAPD|TETA,1,-0.5,,0.5,,0.0,0.0,0.0,0.0
BDMAEE|TETA,1,0.4786577284584287,,0.4786577284584287,,0.0,0.0,0.0,0.0
