row_id,canonical_amine_object,chemistry_object,Amine_1,Solvent,abs_residual__DS-unknown,abs_residual__strict_amine_object_holdout,error_type__DS-unknown,error_type__strict_amine_object_holdout,oof_proba__DS-unknown,oof_proba__strict_amine_object_holdout,signed_residual__DS-unknown,signed_residual__strict_amine_object_holdout,y__DS-unknown,y__strict_amine_object_holdout,bias_alignment
0,BAE,BAE__DEGEE,BAE,DEGEE,0.8773757456435679,0.7103524730459302,FP,FP,0.8773757456435679,0.7103524730459302,-0.8773757456435679,-0.7103524730459302,0.0,0.0,consistent_strong_overprediction
1,AMB,AMB__DEGEE,AMB,DEGEE,0.9132431161688412,0.8847846332843566,FP,FP,0.9132431161688412,0.8847846332843566,-0.9132431161688412,-0.8847846332843566,0.0,0.0,consistent_strong_overprediction
2,EAE,EAE__DEGEE,EAE,DEGEE,0.36728595575452305,0.4303547164449746,TP,TP,0.632714044245477,0.5696452835550254,0.36728595575452305,0.4303547164449746,1.0,1.0,consistent_strong_underprediction
3,1-amino-2-propanol,1-amino-2-propanol__DEGEE,1-amino-2-propanol,DEGEE,0.1724616841535006,0.1699183147155009,TP,TP,0.8275383158464994,0.8300816852844991,0.1724616841535006,0.1699183147155009,1.0,1.0,consistent_underprediction
4,MAE,MAE__DEGEE,MAE,DEGEE,0.12816752785235064,0.057215134656288025,TP,TP,0.8718324721476494,0.942784865343712,0.12816752785235064,0.057215134656288025,1.0,1.0,consistent_underprediction
5,DGA,DGA__DEGEE,DGA,DEGEE,0.11983078913542067,0.1905551668593667,TP,TP,0.8801692108645793,0.8094448331406333,0.11983078913542067,0.1905551668593667,1.0,1.0,consistent_underprediction
6,MEA,MEA__DEGEE,MEA,DEGEE,0.17123571587030795,0.09541036650114199,TP,TP,0.828764284129692,0.904589633498858,0.17123571587030795,0.09541036650114199,1.0,1.0,consistent_underprediction
7,TEPA,TEPA__NO_SOLVENT,TEPA,(none),0.1896185902941444,0.4540768333509092,TN,TN,0.1896185902941444,0.4540768333509092,-0.1896185902941444,-0.4540768333509092,0.0,0.0,consistent_overprediction
8,TEPA,TEPA__DGME,TEPA,DGME,0.8527362978455819,0.9004686008705804,FP,FP,0.8527362978455819,0.9004686008705804,-0.8527362978455819,-0.9004686008705804,0.0,0.0,consistent_strong_overprediction
9,TEPA,TEPA__DGME,TEPA,DGME,0.19624870226213276,0.08070290875675001,TP,TP,0.8037512977378672,0.91929709124325,0.19624870226213276,0.08070290875675001,1.0,1.0,consistent_underprediction
10,TEPA,TEPA__DGME,TEPA,DGME,0.4136710242518026,0.1817483831667427,TP,TP,0.5863289757481974,0.8182516168332573,0.4136710242518026,0.1817483831667427,1.0,1.0,consistent_underprediction
11,TEPA,TEPA__DGME,TEPA,DGME,0.6539159785735231,0.352150573363774,FN,TP,0.3460840214264768,0.647849426636226,0.6539159785735231,0.352150573363774,1.0,1.0,consistent_strong_underprediction
12,TEPA,TEPA__DGME,TEPA,DGME,0.059647292816678577,0.050439169210681145,TP,TP,0.9403527071833214,0.9495608307893189,0.059647292816678577,0.050439169210681145,1.0,1.0,consistent_underprediction
13,TEPA,TEPA__DGME,TEPA,DGME,0.04721574601755363,0.053237563709710445,TP,TP,0.9527842539824464,0.9467624362902896,0.04721574601755363,0.053237563709710445,1.0,1.0,consistent_underprediction
14,PMDETA|TEPA,PMDETA|TEPA__NO_SOLVENT,TEPA,(none),0.873275739974646,,FP,,0.873275739974646,,-0.873275739974646,,0.0,,mixed_or_weak
15,MDEA|TEPA,MDEA|TEPA__NO_SOLVENT,TEPA,(none),0.8523647860009084,,FP,,0.8523647860009084,,-0.8523647860009084,,0.0,,mixed_or_weak
16,DMCA|TEPA,DMCA|TEPA__NO_SOLVENT,TEPA,(none),0.08018569685787802,,TP,,0.919814303142122,,0.08018569685787802,,1.0,,mixed_or_weak
17,DMAC|TEPA,DMAC|TEPA__NO_SOLVENT,TEPA,(none),0.37736799459936454,,TP,,0.6226320054006355,,0.37736799459936454,,1.0,,mixed_or_weak
18,NMP|TEPA,NMP|TEPA__NO_SOLVENT,TEPA,(none),0.4740362338210471,,TP,,0.5259637661789529,,0.4740362338210471,,1.0,,mixed_or_weak
19,MAE,MAE__DGM,MAE,DGM,0.05511277881220322,0.011391976766054412,TP,TP,0.9448872211877968,0.9886080232339456,0.05511277881220322,0.011391976766054412,1.0,1.0,consistent_underprediction
20,MAE,MAE__DEGDEE,MAE,DEGDEE,0.038445322313234165,0.00816608634985283,TP,TP,0.9615546776867658,0.9918339136501472,0.038445322313234165,0.00816608634985283,1.0,1.0,consistent_underprediction
21,MAE,MAE__n-butanol,MAE,n-butanol,0.0708840804572608,0.02216506400018803,TP,TP,0.9291159195427392,0.977834935999812,0.0708840804572608,0.02216506400018803,1.0,1.0,consistent_underprediction
22,MAE,MAE__n-pentylalcohol,MAE,n-pentylalcohol,0.050543480681397246,0.015045416429980363,TP,TP,0.9494565193186028,0.9849545835700196,0.050543480681397246,0.015045416429980363,1.0,1.0,consistent_underprediction
23,MAE,MAE__1-Heptanol,MAE,1-Heptanol,0.034110892053619835,0.00979705547191756,TP,TP,0.9658891079463802,0.9902029445280824,0.034110892053619835,0.00979705547191756,1.0,1.0,consistent_underprediction
24,MAE,MAE__1-Octanol,MAE,1-Octanol,0.03458501424034799,0.009377100187705212,TP,TP,0.965414985759652,0.9906228998122948,0.03458501424034799,0.009377100187705212,1.0,1.0,consistent_underprediction
25,MAE,MAE__TEG,MAE,TEG,0.8418195400409376,0.9713349219091546,FP,FP,0.8418195400409376,0.9713349219091546,-0.8418195400409376,-0.9713349219091546,0.0,0.0,consistent_strong_overprediction
26,MAE,MAE__TEGDME,MAE,TEGDME,0.9482603100161918,0.9901672618235656,FP,FP,0.9482603100161918,0.9901672618235656,-0.9482603100161918,-0.9901672618235656,0.0,0.0,consistent_strong_overprediction
27,MAE,MAE__EGME,MAE,EGME,0.825989910020456,0.9562277251498368,FP,FP,0.825989910020456,0.9562277251498368,-0.825989910020456,-0.9562277251498368,0.0,0.0,consistent_strong_overprediction
28,MAE,MAE__EGEE,MAE,EGEE,0.9265256889789972,0.9814332091433744,FP,FP,0.9265256889789972,0.9814332091433744,-0.9265256889789972,-0.9814332091433744,0.0,0.0,consistent_strong_overprediction
29,1MI|MAE,1MI|MAE__NO_SOLVENT,MAE,(none),0.7307684505474678,,FP,,0.7307684505474678,,-0.7307684505474678,,0.0,,mixed_or_weak
30,MAE,MAE__DMSO,MAE,DMSO,0.8631144878989112,0.9673206112247256,FP,FP,0.8631144878989112,0.9673206112247256,-0.8631144878989112,-0.9673206112247256,0.0,0.0,consistent_strong_overprediction
31,MAE,MAE__DX,MAE,DX,0.8900882647940854,0.9749416320666636,FP,FP,0.8900882647940854,0.9749416320666636,-0.8900882647940854,-0.9749416320666636,0.0,0.0,consistent_strong_overprediction
32,MAE,MAE__PC,MAE,PC,0.8261304977164656,0.9652005486895526,FP,FP,0.8261304977164656,0.9652005486895526,-0.8261304977164656,-0.9652005486895526,0.0,0.0,consistent_strong_overprediction
33,MAE|NMP,MAE|NMP__NO_SOLVENT,MAE,(none),0.4417165789424057,,TN,,0.4417165789424057,,-0.4417165789424057,,0.0,,mixed_or_weak
34,DMAC|MAE,DMAC|MAE__NO_SOLVENT,MAE,(none),0.6588395699205215,,FP,,0.6588395699205215,,-0.6588395699205215,,0.0,,mixed_or_weak
35,MAE,MAE__DGM,MAE,DGM,0.1383221102273713,0.027784106733511615,TP,TP,0.8616778897726287,0.9722158932664884,0.1383221102273713,0.027784106733511615,1.0,1.0,consistent_underprediction
36,MAE,MAE__DGM,MAE,DGM,0.027826138732518158,0.006592355552324625,TP,TP,0.9721738612674818,0.9934076444476754,0.027826138732518158,0.006592355552324625,1.0,1.0,consistent_underprediction
37,MAE,MAE__DGM,MAE,DGM,0.022513447589346813,0.006603070343224382,TP,TP,0.9774865524106532,0.9933969296567756,0.022513447589346813,0.006603070343224382,1.0,1.0,consistent_underprediction
38,MAE,MAE__DGM,MAE,DGM,0.03713703521595957,0.014328619590272207,TP,TP,0.9628629647840404,0.9856713804097278,0.03713703521595957,0.014328619590272207,1.0,1.0,consistent_underprediction
39,MAE,MAE__DGM,MAE,DGM,0.15100616680068468,0.08658291918271044,TP,TP,0.8489938331993153,0.9134170808172896,0.15100616680068468,0.08658291918271044,1.0,1.0,consistent_underprediction
40,MEA,MEA__Methanol,MEA,Methanol,0.0608699784891593,0.0491675207955317,TN,TN,0.0608699784891593,0.0491675207955317,-0.0608699784891593,-0.0491675207955317,0.0,0.0,consistent_overprediction
41,MEA,MEA__ethanol,MEA,ethanol,0.0694523778198769,0.0603243116397557,TN,TN,0.0694523778198769,0.0603243116397557,-0.0694523778198769,-0.0603243116397557,0.0,0.0,consistent_overprediction
42,MEA,MEA__n-propanol,MEA,n-propanol,0.0753032226633842,0.0652648606614218,TN,TN,0.0753032226633842,0.0652648606614218,-0.0753032226633842,-0.0652648606614218,0.0,0.0,consistent_overprediction
43,MEA,MEA__isopropanol,MEA,isopropanol,0.0722533760104757,0.0626568348762132,TN,TN,0.0722533760104757,0.0626568348762132,-0.0722533760104757,-0.0626568348762132,0.0,0.0,consistent_overprediction
44,MEA,MEA__Tertiarybutanol,MEA,Tertiarybutanol,0.0746298707373485,0.0667226675900837,TN,TN,0.0746298707373485,0.0667226675900837,-0.0746298707373485,-0.0667226675900837,0.0,0.0,consistent_overprediction
45,MEA,MEA__Methanol,MEA,Methanol,0.1627281398671508,0.108536229362756,TN,TN,0.1627281398671508,0.108536229362756,-0.1627281398671508,-0.108536229362756,0.0,0.0,consistent_overprediction
46,MEA,MEA__ethanol,MEA,ethanol,0.2193881518329686,0.159707567186372,TN,TN,0.2193881518329686,0.159707567186372,-0.2193881518329686,-0.159707567186372,0.0,0.0,consistent_overprediction
47,MEA,MEA__n-propanol,MEA,n-propanol,0.7380615669569208,0.7984948692878375,FN,FN,0.2619384330430792,0.2015051307121625,0.7380615669569208,0.7984948692878375,1.0,1.0,consistent_strong_underprediction
48,MEA,MEA__isopropanol,MEA,isopropanol,0.2441506243342468,0.186432563616664,TN,TN,0.2441506243342468,0.186432563616664,-0.2441506243342468,-0.186432563616664,0.0,0.0,consistent_overprediction
49,MEA,MEA__Tertiarybutanol,MEA,Tertiarybutanol,0.7348894519518916,0.7897118355709138,FN,FN,0.2651105480481084,0.2102881644290861,0.7348894519518916,0.7897118355709138,1.0,1.0,consistent_strong_underprediction
50,MEA,MEA__Methanol,MEA,Methanol,0.3221734242223248,0.2324428896256248,TN,TN,0.3221734242223248,0.2324428896256248,-0.3221734242223248,-0.2324428896256248,0.0,0.0,consistent_overprediction
51,MEA,MEA__ethanol,MEA,ethanol,0.480354559216652,0.3891269373267383,TN,TN,0.480354559216652,0.3891269373267383,-0.480354559216652,-0.3891269373267383,0.0,0.0,consistent_strong_overprediction
