protocol,group_family,group_name,n,pos_n,neg_n,pos_rate,pred_pos_rate,proba_mean,signed_residual_mean,abs_residual_mean,brier_mean,error_rate,fn_rate_all,fp_rate_all,fn_given_pos,fp_given_neg,auc
DS-known,canonical_amine_object,DEEA|HMDA,13,0,13,0.0,1.0,0.5815794062883066,-0.5815794062883066,0.5815794062883066,0.3394102869708676,1.0,0.0,1.0,,1.0,
DS-known,canonical_amine_object,2MPRZ,6,6,0,1.0,0.16666666666666666,0.498129141607582,0.501870858392418,0.501870858392418,0.26578527781907285,0.8333333333333334,0.8333333333333334,0.0,0.8333333333333334,,
DS-known,canonical_amine_object,AEP,28,25,3,0.8928571428571429,0.5357142857142857,0.48809300567679426,0.4047641371803486,0.4895687188859908,0.2965303476494234,0.42857142857142855,0.39285714285714285,0.03571428571428571,0.44,0.3333333333333333,0.68
DS-known,canonical_amine_object,MAE,69,28,41,0.4057971014492754,0.6666666666666666,0.5976362682700818,-0.19183916682080668,0.429121019919083,0.2445711790659227,0.37681159420289856,0.057971014492753624,0.3188405797101449,0.14285714285714285,0.5365853658536586,0.7290940766550522
DS-known,canonical_amine_object,BZMEA,5,0,5,0.0,0.0,0.32538855884800943,-0.32538855884800943,0.32538855884800943,0.11085281360980792,0.0,0.0,0.0,,0.0,
DS-known,canonical_amine_object,DETA|PMDETA,17,17,0,1.0,0.8235294117647058,0.6754391100748911,0.32456088992510895,0.32456088992510895,0.1399041227113273,0.17647058823529413,0.17647058823529413,0.0,0.17647058823529413,,
DS-known,canonical_amine_object,DAP,5,5,0,1.0,1.0,0.6969305175852043,0.3030694824147957,0.3030694824147957,0.09474011177775679,0.0,0.0,0.0,0.0,,
DS-known,canonical_amine_object,DETA,28,20,8,0.7142857142857143,0.7857142857142857,0.699519549999591,0.014766164286123354,0.2890430848986858,0.14623453875511544,0.21428571428571427,0.07142857142857142,0.14285714285714285,0.1,0.5,0.8125
DS-known,canonical_amine_object,BAE,6,0,6,0.0,0.16666666666666666,0.2859923578282029,-0.2859923578282029,0.2859923578282029,0.10340748729290188,0.16666666666666666,0.0,0.16666666666666666,,0.16666666666666666,
DS-known,canonical_amine_object,DEEA|MAPA,14,11,3,0.7857142857142857,0.9285714285714286,0.9304604848338976,-0.14474619911961187,0.28323542526452017,0.2504178475791893,0.2857142857142857,0.07142857142857142,0.21428571428571427,0.09090909090909091,1.0,0.7272727272727273
