protocol,row_id,canonical_amine_object,chemistry_object,Amine_1,Amine_2,Solvent,system_type,Temperature(K),H2O wt%,Amine 1 wt%,Amine 2 wt%,Solvent wt%,Phase Type,y,oof_proba,oof_pred,error_type,signed_residual,abs_residual,x_H2O,Am_Med_ratio,Delta_S_np,Delta_S_acc,Sal_Out
DS-known,269,DEEA|MAPA,DEEA|MAPA__NO_SOLVENT,MAPA,DEEA,(none),dual_amine_aqueous,313,17.4,19.1,63.5,0.0,M,0,0.9999993919871863,1,FP,-0.9999993919871863,0.9999993919871863,0.5601193346514082,0.7853338353720059,0.6150688150532115,0.2797718667855579,0.160909025966033
DS-known,273,DEEA|MAPA,DEEA|MAPA__NO_SOLVENT,MAPA,DEEA,(none),dual_amine_aqueous,353,28.7,9.3,62.0,0.0,M,0,0.9999979770317688,1,FP,-0.9999979770317688,0.9999979770317688,0.7151493093312317,0.3983093977043015,0.6249937226358628,0.28345822719371,0.2054454678954911
DS-known,272,DEEA|MAPA,DEEA|MAPA__NO_SOLVENT,MAPA,DEEA,(none),dual_amine_aqueous,313,28.7,9.3,62.0,0.0,M,0,0.995874001669969,1,FP,-0.995874001669969,0.995874001669969,0.7151493093312317,0.3983093977043015,0.6249937226358628,0.28345822719371,0.2054454678954911
DS-known,256,AEP,AEP__sulfolane,AEP,(none),sulfolane,single_amine_solvent,303,0.0,30.0,0.0,70.0,B,1,0.0402551679255881,0,FN,0.9597448320744119,0.9597448320744119,0.0,0.3986062232359103,0.082989975557474,0.1281269357253034,0.0
DS-known,257,AEP,AEP__sulfolane,AEP,(none),sulfolane,single_amine_solvent,303,0.0,50.0,0.0,50.0,B,1,0.0502852880020212,0,FN,0.9497147119979787,0.9497147119979787,0.0,0.930081187549963,0.0829899755574739,0.1281269357253034,0.0
DS-known,353,MEA,MEA__TEG,MEA,(none),TEG,single_amine_solvent,303,0.0,54.29,0.0,45.71,M,0,0.9495380849340248,1,FP,-0.9495380849340248,0.9495380849340248,0.0,2.9199532658171004,0.0647129034103916,0.0029521164101237,0.0
DS-known,364,MAE,MAE__DGM,MAE,(none),DGM,single_amine_solvent,388,10.0,40.0,0.0,50.0,M,0,0.9494215873295164,1,FP,-0.9494215873295164,0.9494215873295164,0.3801225950107496,0.5740290940185656,0.0390299770818335,0.0433358779956398,0.2761193658695178
DS-known,354,MEA,MEA__TEG,MEA,(none),TEG,single_amine_solvent,353,0.0,54.29,0.0,45.71,M,0,0.9472773240640736,1,FP,-0.9472773240640736,0.9472773240640736,0.0,2.9199532658171004,0.0647129034103916,0.0029521164101237,0.0
DS-known,363,MAE,MAE__DGM,MAE,(none),DGM,single_amine_solvent,385,10.0,40.0,0.0,50.0,M,0,0.9458585776331404,1,FP,-0.9458585776331404,0.9458585776331404,0.3801225950107496,0.5740290940185656,0.0390299770818335,0.0433358779956398,0.2761193658695178
DS-known,147,MAE,MAE__n-butanol,MAE,(none),n-butanol,single_amine_solvent,313,20.0,30.0,0.0,50.0,M,0,0.9149079731049022,1,FP,-0.9149079731049022,0.9149079731049022,0.5082882740247083,0.2237931821921682,0.1120806575141624,0.0439122465578633,0.3320875419780014
