protocol,row_id,canonical_amine_object,chemistry_object,Amine_1,Amine_2,Solvent,system_type,Temperature(K),H2O wt%,Amine 1 wt%,Amine 2 wt%,Solvent wt%,Phase Type,y,oof_proba,oof_pred,error_type,signed_residual,abs_residual,x_H2O,Am_Med_ratio,Delta_S_np,Delta_S_acc,Sal_Out
DS-unknown,269,DEEA|MAPA,DEEA|MAPA__NO_SOLVENT,MAPA,DEEA,(none),dual_amine_aqueous,313,17.4,19.1,63.5,0.0,M,0,0.999999749910312,1,FP,-0.999999749910312,0.999999749910312,0.5601193346514082,0.7853338353720059,0.6150688150532115,0.2797718667855579,0.160909025966033
DS-unknown,273,DEEA|MAPA,DEEA|MAPA__NO_SOLVENT,MAPA,DEEA,(none),dual_amine_aqueous,353,28.7,9.3,62.0,0.0,M,0,0.9999995756997612,1,FP,-0.9999995756997612,0.9999995756997612,0.7151493093312317,0.3983093977043015,0.6249937226358628,0.28345822719371,0.2054454678954911
DS-unknown,272,DEEA|MAPA,DEEA|MAPA__NO_SOLVENT,MAPA,DEEA,(none),dual_amine_aqueous,313,28.7,9.3,62.0,0.0,M,0,0.9973313789815846,1,FP,-0.9973313789815846,0.9973313789815846,0.7151493093312317,0.3983093977043015,0.6249937226358628,0.28345822719371,0.2054454678954911
DS-unknown,364,MAE,MAE__DGM,MAE,(none),DGM,single_amine_solvent,388,10.0,40.0,0.0,50.0,M,0,0.9747005540297154,1,FP,-0.9747005540297154,0.9747005540297154,0.3801225950107496,0.5740290940185656,0.0390299770818335,0.0433358779956398,0.2761193658695178
DS-unknown,363,MAE,MAE__DGM,MAE,(none),DGM,single_amine_solvent,385,10.0,40.0,0.0,50.0,M,0,0.9738331977074078,1,FP,-0.9738331977074078,0.9738331977074078,0.3801225950107496,0.5740290940185656,0.0390299770818335,0.0433358779956398,0.2761193658695178
DS-unknown,256,AEP,AEP__sulfolane,AEP,(none),sulfolane,single_amine_solvent,303,0.0,30.0,0.0,70.0,B,1,0.0427173764342178,0,FN,0.9572826235657822,0.9572826235657822,0.0,0.3986062232359103,0.082989975557474,0.1281269357253034,0.0
DS-unknown,257,AEP,AEP__sulfolane,AEP,(none),sulfolane,single_amine_solvent,303,0.0,50.0,0.0,50.0,B,1,0.0488152402132687,0,FN,0.9511847597867313,0.9511847597867313,0.0,0.930081187549963,0.0829899755574739,0.1281269357253034,0.0
DS-unknown,26,MAE,MAE__TEGDME,MAE,(none),TEGDME,single_amine_solvent,313,35.0,30.0,0.0,35.0,M,0,0.9482603100161918,1,FP,-0.9482603100161918,0.9482603100161918,0.765307324687913,0.1867118243378979,0.2617510835873515,0.1297116933745545,0.3854657497215349
DS-unknown,203,AMP,AMP__TEGDME,AMP,(none),TEGDME,single_amine_solvent,323,0.0,25.0,0.0,75.0,B,1,0.0720454262106643,0,FN,0.9279545737893357,0.9279545737893357,0.0,0.6664871697057858,0.049354541922956,0.0159924624547137,0.0
DS-unknown,28,MAE,MAE__EGEE,MAE,(none),EGEE,single_amine_solvent,313,35.0,30.0,0.0,35.0,M,0,0.9265256889789972,1,FP,-0.9265256889789972,0.9265256889789972,0.7114989493281015,0.1713349895394421,0.2527504079829302,0.119105888221465,0.3647678168198903
DS-unknown,147,MAE,MAE__n-butanol,MAE,(none),n-butanol,single_amine_solvent,313,20.0,30.0,0.0,50.0,M,0,0.9253161371910308,1,FP,-0.9253161371910308,0.9253161371910308,0.5082882740247083,0.2237931821921682,0.1120806575141624,0.0439122465578633,0.3320875419780014
DS-unknown,101,MEA,MEA__sulfolane,MEA,(none),sulfolane,single_amine_solvent,313,49.0,30.0,0.0,21.0,B,1,0.0748840893138891,0,FN,0.9251159106861109,0.9251159106861109,0.8033323489301671,0.169666467540701,0.3397186120856579,0.1610587522386116,0.2969142166727027
DS-unknown,201,AMP,AMP__TEGDME,AMP,(none),TEGDME,single_amine_solvent,323,0.0,15.0,0.0,85.0,B,1,0.0781135297827378,0,FN,0.9218864702172622,0.9218864702172622,0.0,0.3528461486678796,0.049354541922956,0.0159924624547137,0.0
DS-unknown,1,AMB,AMB__DEGEE,AMB,(none),DEGEE,single_amine_solvent,313,10.0,30.0,0.0,60.0,M,0,0.9132431161688412,1,FP,-0.9132431161688412,0.9132431161688412,0.4292803714457309,0.2901401323493872,0.1748965191395742,0.0923289794085322,0.3061033475716027
