protocol,row_id,canonical_amine_object,chemistry_object,Amine_1,Amine_2,Solvent,system_type,Temperature(K),H2O wt%,Amine 1 wt%,Amine 2 wt%,Solvent wt%,Phase Type,y,oof_proba,oof_pred,error_type,signed_residual,abs_residual,x_H2O,Am_Med_ratio,Delta_S_np,Delta_S_acc,Sal_Out
LOCO,269,DEEA|MAPA,DEEA|MAPA__NO_SOLVENT,MAPA,DEEA,(none),dual_amine_aqueous,313,17.4,19.1,63.5,0.0,M,0,0.9999988763206796,1,FP,-0.9999988763206796,0.9999988763206796,0.5601193346514082,0.7853338353720059,0.6150688150532115,0.2797718667855579,0.160909025966033
LOCO,273,DEEA|MAPA,DEEA|MAPA__NO_SOLVENT,MAPA,DEEA,(none),dual_amine_aqueous,353,28.7,9.3,62.0,0.0,M,0,0.9999968220973962,1,FP,-0.9999968220973962,0.9999968220973962,0.7151493093312317,0.3983093977043015,0.6249937226358628,0.28345822719371,0.2054454678954911
LOCO,272,DEEA|MAPA,DEEA|MAPA__NO_SOLVENT,MAPA,DEEA,(none),dual_amine_aqueous,313,28.7,9.3,62.0,0.0,M,0,0.9947146477254868,1,FP,-0.9947146477254868,0.9947146477254868,0.7151493093312317,0.3983093977043015,0.6249937226358628,0.28345822719371,0.2054454678954911
LOCO,364,MAE,MAE__DGM,MAE,(none),DGM,single_amine_solvent,388,10.0,40.0,0.0,50.0,M,0,0.9830405707892572,1,FP,-0.9830405707892572,0.9830405707892572,0.3801225950107496,0.5740290940185656,0.0390299770818335,0.0433358779956398,0.2761193658695178
LOCO,363,MAE,MAE__DGM,MAE,(none),DGM,single_amine_solvent,385,10.0,40.0,0.0,50.0,M,0,0.9823463798062398,1,FP,-0.9823463798062398,0.9823463798062398,0.3801225950107496,0.5740290940185656,0.0390299770818335,0.0433358779956398,0.2761193658695178
LOCO,26,MAE,MAE__TEGDME,MAE,(none),TEGDME,single_amine_solvent,313,35.0,30.0,0.0,35.0,M,0,0.9671324064358514,1,FP,-0.9671324064358514,0.9671324064358514,0.765307324687913,0.1867118243378979,0.2617510835873515,0.1297116933745545,0.3854657497215349
LOCO,256,AEP,AEP__sulfolane,AEP,(none),sulfolane,single_amine_solvent,303,0.0,30.0,0.0,70.0,B,1,0.0346017742619783,0,FN,0.9653982257380217,0.9653982257380217,0.0,0.3986062232359103,0.082989975557474,0.1281269357253034,0.0
LOCO,28,MAE,MAE__EGEE,MAE,(none),EGEE,single_amine_solvent,313,35.0,30.0,0.0,35.0,M,0,0.9560510653332016,1,FP,-0.9560510653332016,0.9560510653332016,0.7114989493281015,0.1713349895394421,0.2527504079829302,0.119105888221465,0.3647678168198903
LOCO,257,AEP,AEP__sulfolane,AEP,(none),sulfolane,single_amine_solvent,303,0.0,50.0,0.0,50.0,B,1,0.0494015182199167,0,FN,0.9505984817800833,0.9505984817800833,0.0,0.930081187549963,0.0829899755574739,0.1281269357253034,0.0
LOCO,31,MAE,MAE__DX,MAE,(none),DX,single_amine_solvent,313,35.0,30.0,0.0,35.0,M,0,0.9415673568759994,1,FP,-0.9415673568759994,0.9415673568759994,0.7091909658470915,0.1706843442260568,0.270859224942707,0.1365452504104732,0.350741961697122
LOCO,201,AMP,AMP__TEGDME,AMP,(none),TEGDME,single_amine_solvent,323,0.0,15.0,0.0,85.0,B,1,0.0590221005961476,0,FN,0.9409778994038525,0.9409778994038525,0.0,0.3528461486678796,0.049354541922956,0.0159924624547137,0.0
LOCO,203,AMP,AMP__TEGDME,AMP,(none),TEGDME,single_amine_solvent,323,0.0,25.0,0.0,75.0,B,1,0.0590377472980826,0,FN,0.9409622527019174,0.9409622527019174,0.0,0.6664871697057858,0.049354541922956,0.0159924624547137,0.0
LOCO,134,MAE,MAE__n-propanol,MAE,(none),n-propanol,single_amine_solvent,313,30.0,30.0,0.0,40.0,M,0,0.9375046970721675,1,FP,-0.9375046970721675,0.9375046970721675,0.6099239037409819,0.171357255904456,0.2025425741513487,0.0854953045329484,0.3433157750594197
LOCO,140,MAE,MAE__isopropanol,MAE,(none),isopropanol,single_amine_solvent,313,30.0,30.0,0.0,40.0,M,0,0.9334482165485036,1,FP,-0.9334482165485036,0.9334482165485036,0.6099239037409819,0.171357255904456,0.208882587616442,0.0906451741028752,0.3394488492970196
LOCO,29,1MI|MAE,1MI|MAE__NO_SOLVENT,MAE,1MI,(none),dual_amine_aqueous,313,35.0,30.0,35.0,0.0,M,0,0.9316343535725676,1,FP,-0.9316343535725676,0.9316343535725676,0.70175460673841,0.4249995516913517,0.5204267575999204,0.2294663882799844,0.2015974869136223
LOCO,30,MAE,MAE__DMSO,MAE,(none),DMSO,single_amine_solvent,313,35.0,30.0,0.0,35.0,M,0,0.930053482995481,1,FP,-0.930053482995481,0.930053482995481,0.6963071774964387,0.1670655048445586,0.273151867149201,0.1398316459437873,0.3427736907620761
LOCO,101,MEA,MEA__sulfolane,MEA,(none),sulfolane,single_amine_solvent,313,49.0,30.0,0.0,21.0,B,1,0.0764226790746378,0,FN,0.9235773209253622,0.9235773209253622,0.8033323489301671,0.169666467540701,0.3397186120856579,0.1610587522386116,0.2969142166727027
LOCO,147,MAE,MAE__n-butanol,MAE,(none),n-butanol,single_amine_solvent,313,20.0,30.0,0.0,50.0,M,0,0.9229942733086988,1,FP,-0.9229942733086988,0.9229942733086988,0.5082882740247083,0.2237931821921682,0.1120806575141624,0.0439122465578633,0.3320875419780014
LOCO,133,MAE,MAE__n-propanol,MAE,(none),n-propanol,single_amine_solvent,313,40.0,30.0,0.0,30.0,M,0,0.921375586115178,1,FP,-0.921375586115178,0.921375586115178,0.7118867384301694,0.1468664070635821,0.2792879267242057,0.1212178831195991,0.3460749189857101
LOCO,25,MAE,MAE__TEG,MAE,(none),TEG,single_amine_solvent,313,35.0,30.0,0.0,35.0,M,0,0.9209411254012688,1,FP,-0.9209411254012688,0.9209411254012688,0.7544053354747463,0.1835638340307322,0.3002444590437199,0.1459318614643863,0.3509350884207219
